# Data structure: one example per line in the form [denom(P), vertices of P*, vertices of denom(P)*P, b(P)]
[1, [[1, 0], [0, 1], [-1, -1]], [[-1, 2], [-1, -1], [2, -1]], 9]
[1, [[1, 0], [0, 1], [-2, -1]], [[-1, 3], [-1, -1], [1, -1]], 8]
[1, [[1, 0], [0, 1], [-3, -2]], [[-1, 2], [-1, -1], [1, -1]], 6]
[1, [[1, 0], [1, 2], [-3, -2]], [[-1, 2], [-1, 0], [1, -1]], 4]
[1, [[1, 0], [1, 3], [-2, -3]], [[-1, 1], [-1, 0], [2, -1]], 3]
[2, [[1, 0], [0, 1], [-4, -1]], [[-2, 10], [-2, -2], [1, -2]], 9]
[2, [[1, 0], [0, 1], [-5, -4]], [[-2, 3], [-2, -2], [2, -2]], 5]
[2, [[1, 0], [0, 1], [-8, -3]], [[-2, 6], [-2, -2], [1, -2]], 6]
[2, [[1, 0], [1, 2], [-5, -4]], [[-2, 3], [-2, 0], [2, -2]], 3]
[2, [[1, 0], [1, 3], [-5, -3]], [[-2, 4], [-2, 0], [1, -1]], 3]
[2, [[1, 0], [1, 4], [-3, -4]], [[-2, 2], [-2, 0], [2, -1]], 2]
[2, [[1, 0], [3, 4], [-5, -4]], [[-2, 3], [-2, 1], [2, -2]], 2]
[3, [[1, 0], [0, 1], [-9, -2]], [[-3, 15], [-3, -3], [1, -3]], 8]
[3, [[1, 0], [0, 1], [-9, -5]], [[-3, 6], [-3, -3], [2, -3]], 5]
[3, [[1, 0], [1, 2], [-11, -4]], [[-3, 9], [-3, 0], [1, -2]], 4]
[3, [[1, 0], [1, 3], [-5, -6]], [[-3, 3], [-3, 0], [3, -2]], 2]
[3, [[1, 0], [2, 3], [-7, -6]], [[-3, 4], [-3, 1], [3, -3]], 2]
[3, [[1, 0], [4, 9], [-5, -9]], [[-3, 2], [-3, 1], [6, -3]], 1]
[4, [[1, 0], [1, 2], [-11, -6]], [[-4, 8], [-4, 0], [2, -3]], 3]
[4, [[1, 0], [1, 8], [-3, -8]], [[-4, 2], [-4, 0], [4, -1]], 1]
[5, [[1, 0], [1, 2], [-14, -3]], [[-5, 25], [-5, 0], [1, -3]], 6]
[6, [[1, 0], [0, 1], [-20, -9]], [[-6, 14], [-6, -6], [3, -6]], 5]
[6, [[1, 0], [0, 1], [-27, -8]], [[-6, 21], [-6, -6], [2, -6]], 6]
[6, [[1, 0], [1, 3], [-11, -9]], [[-6, 8], [-6, 0], [3, -3]], 2]
